
> serve
> npx serve frontend -p 3000

 INFO  Accepting connections at http://localhost:3000
 HTTP  4/22/2026 4:56:59 PM ::1 GET /
 HTTP  4/22/2026 4:56:59 PM ::1 Returned 200 in 29 ms
 HTTP  4/22/2026 4:56:59 PM ::1 GET /style.css
 HTTP  4/22/2026 4:56:59 PM ::1 Returned 200 in 9 ms
 HTTP  4/22/2026 4:56:59 PM ::1 GET /config.js
 HTTP  4/22/2026 4:56:59 PM ::1 Returned 200 in 4 ms
 HTTP  4/22/2026 4:56:59 PM ::1 GET /contracts.js
 HTTP  4/22/2026 4:56:59 PM ::1 Returned 200 in 8 ms
 HTTP  4/22/2026 4:56:59 PM ::1 GET /core.js
 HTTP  4/22/2026 4:56:59 PM ::1 Returned 200 in 3 ms
 HTTP  4/22/2026 4:56:59 PM ::1 GET /router.js
 HTTP  4/22/2026 4:56:59 PM ::1 Returned 200 in 2 ms
 HTTP  4/22/2026 4:56:59 PM ::1 GET /home.js
 HTTP  4/22/2026 4:56:59 PM ::1 Returned 200 in 3 ms
 HTTP  4/22/2026 4:57:00 PM ::1 GET /marketplace.js
 HTTP  4/22/2026 4:57:00 PM ::1 Returned 200 in 2 ms
 HTTP  4/22/2026 4:57:00 PM ::1 GET /app.js
 HTTP  4/22/2026 4:57:00 PM ::1 Returned 200 in 3 ms
 HTTP  4/22/2026 4:57:00 PM ::1 GET /env-control.js
 HTTP  4/22/2026 4:57:00 PM ::1 Returned 200 in 3 ms
 HTTP  4/22/2026 4:57:00 PM ::1 GET /product.js
 HTTP  4/22/2026 4:57:00 PM ::1 Returned 200 in 1 ms
 HTTP  4/22/2026 4:57:00 PM ::1 GET /login.js
 HTTP  4/22/2026 4:57:00 PM ::1 Returned 200 in 1 ms
 HTTP  4/22/2026 4:57:01 PM ::1 GET /views/home.html
 HTTP  4/22/2026 4:57:01 PM ::1 Returned 301 in 1 ms
 HTTP  4/22/2026 4:57:01 PM ::1 GET /views/home
 HTTP  4/22/2026 4:57:01 PM ::1 Returned 200 in 9 ms
 HTTP  4/22/2026 4:57:04 PM ::1 GET /views/marketplace.html
 HTTP  4/22/2026 4:57:04 PM ::1 Returned 301 in 0 ms
 HTTP  4/22/2026 4:57:04 PM ::1 GET /views/marketplace
 HTTP  4/22/2026 4:57:04 PM ::1 Returned 200 in 2 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 1 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /style.css
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 3 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /config.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 3 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /contracts.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 1 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /core.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 1 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /router.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 1 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /home.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 2 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /marketplace.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 0 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /app.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 1 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /env-control.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 1 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /product.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 4 ms
 HTTP  4/22/2026 4:58:05 PM ::1 GET /login.js
 HTTP  4/22/2026 4:58:05 PM ::1 Returned 200 in 1 ms
 HTTP  4/22/2026 4:58:06 PM ::1 GET /views/home.html
 HTTP  4/22/2026 4:58:06 PM ::1 Returned 301 in 1 ms
 HTTP  4/22/2026 4:58:06 PM ::1 GET /views/home
 HTTP  4/22/2026 4:58:06 PM ::1 Returned 200 in 3 ms
 HTTP  4/22/2026 4:58:08 PM ::1 GET /views/marketplace.html
 HTTP  4/22/2026 4:58:08 PM ::1 Returned 301 in 1 ms
 HTTP  4/22/2026 4:58:08 PM ::1 GET /views/marketplace
 HTTP  4/22/2026 4:58:08 PM ::1 Returned 200 in 1 ms
