npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  2/21/2026 12:35:18 AM ::1 GET /manager.html
 HTTP  2/21/2026 12:35:18 AM ::1 Returned 301 in 17 ms
 HTTP  2/21/2026 12:35:18 AM ::1 GET /manager
 HTTP  2/21/2026 12:35:18 AM ::1 Returned 200 in 14 ms
 HTTP  2/21/2026 12:35:18 AM ::1 GET /contracts.js
 HTTP  2/21/2026 12:35:18 AM ::1 GET /app.js
 HTTP  2/21/2026 12:35:18 AM ::1 Returned 200 in 3 ms
 HTTP  2/21/2026 12:35:18 AM ::1 Returned 200 in 6 ms
 HTTP  2/21/2026 12:35:29 AM ::1 GET /manager.html
 HTTP  2/21/2026 12:35:29 AM ::1 Returned 301 in 1 ms
 HTTP  2/21/2026 12:35:29 AM ::1 GET /manager
 HTTP  2/21/2026 12:35:29 AM ::1 Returned 200 in 2 ms
 HTTP  2/21/2026 12:35:29 AM ::1 GET /contracts.js
 HTTP  2/21/2026 12:35:29 AM ::1 GET /app.js
 HTTP  2/21/2026 12:35:29 AM ::1 Returned 200 in 3 ms
 HTTP  2/21/2026 12:35:29 AM ::1 Returned 200 in 4 ms
 HTTP  2/21/2026 12:35:30 AM ::1 GET /product.html?id=demo
 HTTP  2/21/2026 12:35:30 AM ::1 Returned 301 in 1 ms
 HTTP  2/21/2026 12:35:30 AM ::1 GET /product
 HTTP  2/21/2026 12:35:30 AM ::1 Returned 200 in 2 ms
 HTTP  2/21/2026 12:35:30 AM ::1 GET /ecommerce.js
 HTTP  2/21/2026 12:35:30 AM ::1 GET /contracts.js
 HTTP  2/21/2026 12:35:30 AM ::1 Returned 304 in 2 ms
 HTTP  2/21/2026 12:35:30 AM ::1 Returned 200 in 3 ms
 HTTP  2/21/2026 12:36:14 AM ::1 GET /manager.html
 HTTP  2/21/2026 12:36:14 AM ::1 Returned 301 in 1 ms
 HTTP  2/21/2026 12:36:14 AM ::1 GET /manager
 HTTP  2/21/2026 12:36:14 AM ::1 Returned 200 in 2 ms
 HTTP  2/21/2026 12:36:14 AM ::1 GET /contracts.js
 HTTP  2/21/2026 12:36:14 AM ::1 Returned 200 in 1 ms
 HTTP  2/21/2026 12:36:14 AM ::1 GET /app.js
 HTTP  2/21/2026 12:36:14 AM ::1 Returned 200 in 1 ms
