127.0.0.1 - - [31/Mar/2026 15:46:34] "GET /marketplace.html HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:46:35] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:46:35] "GET /contracts.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:46:35] "GET /core.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:46:35] "GET /marketplace.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:46:40] "GET /product.html?id=0&addr=0xE6E340D132b5f46d1e472DebcD681B2aBc16e57E HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:46:40] "GET /product.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:01:46] "GET /manager.html HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:01:47] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:01:47] "GET /contracts.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:01:47] "GET /core.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:01:47] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:01:47] "GET /env-control.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:01:49] "GET /manager.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 16:01:50] "GET /manager.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 16:05:51] "GET /manager.html HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:05:51] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:05:51] "GET /contracts.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:05:51] "GET /core.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:05:51] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:05:51] "GET /env-control.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:05:54] "GET /manager.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 16:05:54] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 16:05:55] "GET /manager.html HTTP/1.1" 304 -
